index,Item,Serving Size,Calories,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbs,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Potassium,Calcium,Iron,Table Type,As_Of,Drink Type,oz_int,Calories from Fat,Calories from Carbs,Calories from Protein,calc_cals,Fat_pct,Carbs_pct,Protein_pct,cals_match
0,Avocado & Roasted Tomato Toast,1 Piece,260,10.0,1.5,0.0,0,630,37,7,4,0,7,0,626,36,2,Avocado Toast,12-15-2022,,,90.0,148,28,266.0,3.76,13.91,2.63,True
0,Caramel Cold Brew with Sweet Cold Foam - Large,32 oz.,340,4.0,2.5,0.0,15,115,70,0,67,61,4,0,613,158,0,Cold Brew Coffee,12-15-2022,iced,32,36.0,280,16,332.0,1.2,21.08,1.2,True
1,Caramel Cold Brew with Sweet Cold Foam - Medium,24 oz.,240,3.0,1.5,0.0,10,85,51,0,49,45,3,0,455,115,0,Cold Brew Coffee,12-15-2022,iced,24,27.0,204,12,243.0,1.23,20.99,1.23,True
2,Caramel Cold Brew with Sweet Cold Foam - Small,16 oz.,190,2.5,1.5,0.0,10,65,38,0,37,33,2,0,317,86,0,Cold Brew Coffee,12-15-2022,iced,16,22.5,152,8,182.5,1.37,20.82,1.1,True
3,Cold Brew Coffee with Oatmilk - Large,32 oz.,50,1.5,0.0,0.0,0,65,8,1,2,1,1,2,397,145,0,Cold Brew Coffee,12-15-2022,iced,32,13.5,32,4,49.5,3.03,16.16,2.02,True
4,Cold Brew Coffee with Oatmilk - Medium,24 oz.,30,1.0,0.0,0.0,0,45,5,1,1,1,1,1,289,98,0,Cold Brew Coffee,12-15-2022,iced,24,9.0,20,4,33.0,3.03,15.15,3.03,True
5,Cold Brew Coffee with Oatmilk - Small,16 oz.,15,0.0,0.0,0.0,0,25,3,0,1,0,1,1,181,52,0,Cold Brew Coffee,12-15-2022,iced,16,0.0,12,4,16.0,0.0,18.75,6.25,True
6,The Charli Cold Foam - Large,32 oz.,340,4.0,2.5,0.0,15,115,70,0,68,61,4,0,613,159,0,Cold Brew Coffee,12-15-2022,iced,32,36.0,280,16,332.0,1.2,21.08,1.2,True
7,The Charli Cold Foam - Medium,24 oz.,250,3.0,1.5,0.0,10,85,52,0,50,45,3,0,455,116,0,Cold Brew Coffee,12-15-2022,iced,24,27.0,208,12,247.0,1.21,21.05,1.21,True
8,The Charli Cold Foam - Small,16 oz.,190,2.5,1.5,0.0,10,65,39,0,37,34,2,0,317,87,0,Cold Brew Coffee,12-15-2022,iced,16,22.5,156,8,186.5,1.34,20.91,1.07,True
